clothing_id,age,title,review_text,rating,recommended,feedback_count,division,department,class_name,full_text,label,true_label,pred_label,correct,error_category
1072,57,Not what i expected,"Although i love retailer, this product isn't the quality or presentation i expect from them. the dress arrived stuffed into a small plastic bag and was a crumpled mess. the fabric wasn't soft and fluid as i expected, but rather was stiff and a little scratchy. i purchased the ecru version, which was also slightly darker than the photo showed. i returned the dress and will keep looking.",1,0,3,General,Dresses,Dresses,"Not what i expected [SEP] Although i love retailer, this product isn't the quality or presentation i expect from them. the dress arrived stuffed into a small plastic bag and was a crumpled mess. the fabric wasn't soft and fluid as i expected, but rather was stiff and a little scratchy. i purchased the ecru version, which was also slightly darker than the photo showed. i returned the dress and will keep looking.",0,1,2,False,subtle_rating_difference
835,28,Maternity top,"Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",1,0,4,General Petite,Tops,Blouses,"Maternity top [SEP] Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",0,1,2,False,subtle_rating_difference
841,28,Just doesn't fit right,"I wanted to love this sweater but it is a return. it is a very weird fit, very thick, rug-like material and unfitted. the shoulders are bulky, the top is big and the booty is small. i am 5'2"", 34c and typically wear a small. the arms were very long, way too long. i will say other than that the top was true to size, may look okay on someone who had a larger chest and a smaller bum!",1,0,2,General,Tops,Blouses,"Just doesn't fit right [SEP] I wanted to love this sweater but it is a return. it is a very weird fit, very thick, rug-like material and unfitted. the shoulders are bulky, the top is big and the booty is small. i am 5'2"", 34c and typically wear a small. the arms were very long, way too long. i will say other than that the top was true to size, may look okay on someone who had a larger chest and a smaller bum!",0,1,2,False,subtle_rating_difference
1079,46,Buttons broke before i even got it on!,"I'm so disappointed. the dress looked lovely in the box, but when i started to unbutton it to try it on, two buttons split in half! it's going right back.",1,0,0,General,Dresses,Dresses,"Buttons broke before i even got it on! [SEP] I'm so disappointed. the dress looked lovely in the box, but when i started to unbutton it to try it on, two buttons split in half! it's going right back.",0,1,2,False,subtle_rating_difference
641,35,,"I thought this dress would be a cute beach cover up so i was excited to order it but i was very disappointed. i am 5'7 and i usually wear a size small top and 4 dress so i ordered a small in this dress but it was huge!! i understand that it is not meant to be form fitting and i wasn't expecting it to be but when i tried this on i felt like i was wearing a potato sack. i feel like an extra small would have been just as bad. i was so upset. it also has thin silver lines through it which, for me, m",1,0,0,General Petite,Intimate,Lounge,"I thought this dress would be a cute beach cover up so i was excited to order it but i was very disappointed. i am 5'7 and i usually wear a size small top and 4 dress so i ordered a small in this dress but it was huge!! i understand that it is not meant to be form fitting and i wasn't expecting it to be but when i tried this on i felt like i was wearing a potato sack. i feel like an extra small would have been just as bad. i was so upset. it also has thin silver lines through it which, for me, m",0,1,2,False,subtle_rating_difference
1099,36,,"I have to agree with the first reviewer! i really loved the color of this dress and could almost have overlooked the lack of a lining, but when i felt the fabric expecting a nice lush silk, instead getting what felt like a polyster instead i couldn't justify it for the price. i really liked the fact that a maxi came in petite sizes as well, but just couldn't get over the poor quality for that price so back it goes! i hope the team members or buyers at retailer are reading these reviews",1,0,2,General,Dresses,Dresses,"I have to agree with the first reviewer! i really loved the color of this dress and could almost have overlooked the lack of a lining, but when i felt the fabric expecting a nice lush silk, instead getting what felt like a polyster instead i couldn't justify it for the price. i really liked the fact that a maxi came in petite sizes as well, but just couldn't get over the poor quality for that price so back it goes! i hope the team members or buyers at retailer are reading these reviews",0,1,2,False,subtle_rating_difference
868,44,Cute top but looks like a tent (i'm not kidding),"I love baseball style tees and when i saw the homebase tee (in two colors no less), i was very thrilled especially since it was during the 20% mother's day promotion on all items. based on the model's photos, the top looks flattering with a swing type style. i usually wear a medium and bought a small size in this top. when the package was delivered, i excitedly opened it and found two tees looking like maternity tops which would be lovely if i was pregnant. the tops are so wide not like the webs",1,0,21,General,Tops,Knits,"Cute top but looks like a tent (i'm not kidding) [SEP] I love baseball style tees and when i saw the homebase tee (in two colors no less), i was very thrilled especially since it was during the 20% mother's day promotion on all items. based on the model's photos, the top looks flattering with a swing type style. i usually wear a medium and bought a small size in this top. when the package was delivered, i excitedly opened it and found two tees looking like maternity tops which would be lovely if i was pregnant. the tops are so wide not like the webs",0,1,2,False,subtle_rating_difference
1094,53,Fits like a sack of potatoes!,"I tried this dress on in the store. i loved the fabric and color, but the fit was huge, no matter how much i sized down. there are full dresses and tunics that are supposed to be loose, but this was shapeless in an unflattering way. i was attracted to the style and color, but the execution left much to be desired.",1,0,0,General,Dresses,Dresses,"Fits like a sack of potatoes! [SEP] I tried this dress on in the store. i loved the fabric and color, but the fit was huge, no matter how much i sized down. there are full dresses and tunics that are supposed to be loose, but this was shapeless in an unflattering way. i was attracted to the style and color, but the execution left much to be desired.",0,1,2,False,subtle_rating_difference
1037,42,"Wanted to love, but sadly will return.","These run very small!! they are also short, almost like a crop pant. the fit was so weird that i won't even exchange for a bigger size.",1,0,1,General,Bottoms,Jeans,"Wanted to love, but sadly will return. [SEP] These run very small!! they are also short, almost like a crop pant. the fit was so weird that i won't even exchange for a bigger size.",0,1,2,False,subtle_rating_difference
1094,62,Too small and too big!,"I ordered a size small. i am 5'7"" size 6 and the dress was a mini on me! way shorter than on the taller model. the stomach and hips gaped out from my body yet the waist was cut way too high, so the dress was both too small and too big! very odd fit. the material is soft, thick, stretchy and has a textured pattern which i liked. this one is going back.",1,0,0,General Petite,Dresses,Dresses,"Too small and too big! [SEP] I ordered a size small. i am 5'7"" size 6 and the dress was a mini on me! way shorter than on the taller model. the stomach and hips gaped out from my body yet the waist was cut way too high, so the dress was both too small and too big! very odd fit. the material is soft, thick, stretchy and has a textured pattern which i liked. this one is going back.",0,1,2,False,subtle_rating_difference
1008,38,Center pleat off center,I ordered this skirt because it looked cute and versatile. when it arrived the pleat in front (shown in the center) was far to the right so the overall look was crooked. not sure if it was a quality control issue or if that's the true design but it will have to go back. too bad because i had high hopes!,1,0,0,General Petite,Bottoms,Skirts,Center pleat off center [SEP] I ordered this skirt because it looked cute and versatile. when it arrived the pleat in front (shown in the center) was far to the right so the overall look was crooked. not sure if it was a quality control issue or if that's the true design but it will have to go back. too bad because i had high hopes!,0,1,2,False,subtle_rating_difference
829,35,Like a bolt of fabric,"Like the previous review said, i was excited to receive this top. i had grand visions of all the ways i could wear it! to my chagrin, when i put it on, it just fell right down and pooled around my waist. i wish there were smaller sizes to order. sadly, this is going back.",1,0,3,General Petite,Tops,Blouses,"Like a bolt of fabric [SEP] Like the previous review said, i was excited to receive this top. i had grand visions of all the ways i could wear it! to my chagrin, when i put it on, it just fell right down and pooled around my waist. i wish there were smaller sizes to order. sadly, this is going back.",0,1,2,False,subtle_rating_difference
1072,60,Huge tent,"This dress looks cute online, but it is enormous. i bought a small, but it looked more like a 3x plus size. i tried it on, just in case, and honestly it looked like a great dress for a clown. this dress must have had two feet of fabric pinned behind the model in the photo.",1,0,2,General Petite,Dresses,Dresses,"Huge tent [SEP] This dress looks cute online, but it is enormous. i bought a small, but it looked more like a 3x plus size. i tried it on, just in case, and honestly it looked like a great dress for a clown. this dress must have had two feet of fabric pinned behind the model in the photo.",0,1,2,False,subtle_rating_difference
832,30,Stain on shirt,I was very disappointed with my recent retailer order. i ordered the meleri eyelet tank and it had a stain on the front. i also order a dress that came with a tear in the fabric. sale items should not be damaged unless the customer is aware of the damage and accepts it in that condition. very disappointing.,1,0,0,General,Tops,Blouses,Stain on shirt [SEP] I was very disappointed with my recent retailer order. i ordered the meleri eyelet tank and it had a stain on the front. i also order a dress that came with a tear in the fabric. sale items should not be damaged unless the customer is aware of the damage and accepts it in that condition. very disappointing.,0,1,2,False,subtle_rating_difference
1078,47,Just bad,"I'm usually a fan of maeve, but this dress is just bad. the fabric is thin and filmy, and it stretches to sheer over your chest. the turtleneck is neither tight nor loose, it just droops in a most unfortunate way.",1,0,2,General Petite,Dresses,Dresses,"Just bad [SEP] I'm usually a fan of maeve, but this dress is just bad. the fabric is thin and filmy, and it stretches to sheer over your chest. the turtleneck is neither tight nor loose, it just droops in a most unfortunate way.",0,1,2,False,subtle_rating_difference
1039,36,Not the right color,"I ordered these twice just to be sure there wasn't a glitch. the color is so off! the picture shows a dark blue denim, but they are not they are a light blue - with whiskering! retailer you need to have a better image of the color because this is so misleading.",1,0,8,General,Bottoms,Jeans,"Not the right color [SEP] I ordered these twice just to be sure there wasn't a glitch. the color is so off! the picture shows a dark blue denim, but they are not they are a light blue - with whiskering! retailer you need to have a better image of the color because this is so misleading.",0,1,2,False,subtle_rating_difference
993,46,Shrinks in the wash,"Even following the care label exactly, it shrunk ~3 inches in the length and overall in the diameter. i had to return this since i am tall and it looked more like a work-inappropriate mini after the first wash.",1,0,0,General Petite,Bottoms,Skirts,"Shrinks in the wash [SEP] Even following the care label exactly, it shrunk ~3 inches in the length and overall in the diameter. i had to return this since i am tall and it looked more like a work-inappropriate mini after the first wash.",0,1,2,False,subtle_rating_difference
820,56,Too short waisted!,"I ordered this top in a 14, my usual size, and it fits fine, but it is way too short-waisted! it looks nothing like what the model is wearing. her top comes low on her waist, almost to her crotch area. mine was just about 2 inches below my belly button! it was almost as if they accidentally cut off the lower half of the top at the factory! very strange.",1,0,11,General Petite,Tops,Blouses,"Too short waisted! [SEP] I ordered this top in a 14, my usual size, and it fits fine, but it is way too short-waisted! it looks nothing like what the model is wearing. her top comes low on her waist, almost to her crotch area. mine was just about 2 inches below my belly button! it was almost as if they accidentally cut off the lower half of the top at the factory! very strange.",0,1,2,False,subtle_rating_difference
828,46,Test like fit,"This shirt was tent like on me and there was really no way around it. i am fairly small- usually a 4 or 6 in tops, and smaller on top- barely 34b. this top was incredibly unflattering, falling to cut right at my hips and sitting open and way too flowy-- like a pillowcase/sacklike fit. there was just too much fabric here to make it work for me. it's unfortunate because it looks adorable in the product photo and i love the plaid mix with the open shoulders- a nice transition to fall. unfortunately",1,0,0,General,Tops,Blouses,"Test like fit [SEP] This shirt was tent like on me and there was really no way around it. i am fairly small- usually a 4 or 6 in tops, and smaller on top- barely 34b. this top was incredibly unflattering, falling to cut right at my hips and sitting open and way too flowy-- like a pillowcase/sacklike fit. there was just too much fabric here to make it work for me. it's unfortunate because it looks adorable in the product photo and i love the plaid mix with the open shoulders- a nice transition to fall. unfortunately",0,1,2,False,subtle_rating_difference
817,45,Disappointing blouse,"I was intrigued by the pattern of this blouse (the purple version) but the design is terrible for me. it's boxy, i didn't like the fabric, and the arm ruffles are bizarre. it's going back tomorrow.",1,0,4,General Petite,Tops,Blouses,"Disappointing blouse [SEP] I was intrigued by the pattern of this blouse (the purple version) but the design is terrible for me. it's boxy, i didn't like the fabric, and the arm ruffles are bizarre. it's going back tomorrow.",0,1,2,False,subtle_rating_difference
1121,25,"Beautiful design, poor execution","I knew i needed to buy this trench from the moment i saw it on my computer screen, but something prompted me to stop by my local retailer and try it on first. thank goodness for that. at first glance, i knew i wouldn't be buying this. the construction leaves much to be desired. from the flimsy, single layer of unlined, unstructured fabric, to the thin strip of fabric serving as a belt, i could easily see this being sold at a cheap store for teenage girls where throwaway clothes are a dim",1,0,4,General,Jackets,Outerwear,"Beautiful design, poor execution [SEP] I knew i needed to buy this trench from the moment i saw it on my computer screen, but something prompted me to stop by my local retailer and try it on first. thank goodness for that. at first glance, i knew i wouldn't be buying this. the construction leaves much to be desired. from the flimsy, single layer of unlined, unstructured fabric, to the thin strip of fabric serving as a belt, i could easily see this being sold at a cheap store for teenage girls where throwaway clothes are a dim",0,1,2,False,subtle_rating_difference
1060,44,Terrible,I'm 5 ft 7 125 lbs true size 4 and these pants made me look like i had boy parts. super disappointed!,1,0,13,General,Bottoms,Pants,Terrible [SEP] I'm 5 ft 7 125 lbs true size 4 and these pants made me look like i had boy parts. super disappointed!,0,1,2,False,subtle_rating_difference
840,35,"Wide, not as expected, or pictured","Wow this is huge! i'm all for the tent-look with the right style, but this was absurd. i could have fit two of me into the width, and with the peplum style, extra width doesn't flatter anyone. the fabric is also so thin that it doesn't hang nicely, it kind of floats around the body. if you want a wide top, then this is perfect, but if you wanted something that hangs nicely, look elsewhere. i purchased a petite s, my typical size.",1,0,0,General,Tops,Blouses,"Wide, not as expected, or pictured [SEP] Wow this is huge! i'm all for the tent-look with the right style, but this was absurd. i could have fit two of me into the width, and with the peplum style, extra width doesn't flatter anyone. the fabric is also so thin that it doesn't hang nicely, it kind of floats around the body. if you want a wide top, then this is perfect, but if you wanted something that hangs nicely, look elsewhere. i purchased a petite s, my typical size.",0,1,2,False,subtle_rating_difference
814,66,Runs very small,"Ordered the biggest size available, the large. the arms are so tight, i couldn't get it on. looked like it may have fit in the body so i don't understand why so constricting in the arms. i don't have big arms, either. fabric is thin but the color is pretty. can't recommend. i'd pass on this one.",1,0,0,Initmates,Intimate,Sleep,"Runs very small [SEP] Ordered the biggest size available, the large. the arms are so tight, i couldn't get it on. looked like it may have fit in the body so i don't understand why so constricting in the arms. i don't have big arms, either. fabric is thin but the color is pretty. can't recommend. i'd pass on this one.",0,1,2,False,subtle_rating_difference
984,41,Looks great on the photo but was too big for me,"I wanted this jacket to fit on me like in the photo, but i guess my frame was still to petite. the fabric was also on the cheap end",1,0,0,General,Jackets,Jackets,"Looks great on the photo but was too big for me [SEP] I wanted this jacket to fit on me like in the photo, but i guess my frame was still to petite. the fabric was also on the cheap end",0,1,2,False,subtle_rating_difference
872,37,Too much fabric,"I really wanted to love this top, but there is way too much fabric. it looks nothing like the pictures. it was more like a maternity top vs. a swingy top. i'll be returning this one.",1,0,1,General,Tops,Knits,"Too much fabric [SEP] I really wanted to love this top, but there is way too much fabric. it looks nothing like the pictures. it was more like a maternity top vs. a swingy top. i'll be returning this one.",0,1,2,False,subtle_rating_difference
1086,48,So disappointed.,"I was very shocked to receive this dress with a rusty zipper, looks like crusty white rust . see attached pictures. the dress fabric is very nice and i did try it on and it is a very nice fit, lined with a little stretch but my gosh what a cheap poor quality zipper that looks like it was old and exposed to moisture because the metal parts have a white crusty substance! retailer you really need to check your merchandise before sending to your loyal customers. lately the quality has been declining a",1,0,3,General,Dresses,Dresses,"So disappointed. [SEP] I was very shocked to receive this dress with a rusty zipper, looks like crusty white rust . see attached pictures. the dress fabric is very nice and i did try it on and it is a very nice fit, lined with a little stretch but my gosh what a cheap poor quality zipper that looks like it was old and exposed to moisture because the metal parts have a white crusty substance! retailer you really need to check your merchandise before sending to your loyal customers. lately the quality has been declining a",0,1,2,False,subtle_rating_difference
834,46,"Orange color was pretty, poor quality fabric",I ordered a size 16 in the orange. it ran a size smaller than normal size 16 maeve tops. the quality of the material was terrible. it wrinkled and was also so thin that you need to wear a tank underneath. that messes with the look of the lace on the top. the color of the orange was gorgeous.,1,0,0,General Petite,Tops,Blouses,"Orange color was pretty, poor quality fabric [SEP] I ordered a size 16 in the orange. it ran a size smaller than normal size 16 maeve tops. the quality of the material was terrible. it wrinkled and was also so thin that you need to wear a tank underneath. that messes with the look of the lace on the top. the color of the orange was gorgeous.",0,1,2,False,subtle_rating_difference
984,56,Not attractive,"I bought this jacket based on how it looked on the model, and from the reviews. i found it to be super big, and unflattering to say the least. i'm 5""10, 155lbs. i sent it back.",1,0,5,General,Jackets,Jackets,"Not attractive [SEP] I bought this jacket based on how it looked on the model, and from the reviews. i found it to be super big, and unflattering to say the least. i'm 5""10, 155lbs. i sent it back.",0,1,2,False,subtle_rating_difference
867,30,Not my cup of tee,It fits super baggy everywhere and looked sloppy on me.,1,0,0,General,Tops,Knits,Not my cup of tee [SEP] It fits super baggy everywhere and looked sloppy on me.,0,1,3,False,ambiguous_review
1104,57,Way too short,"I'm 5'7"", 130 lbs. i ordered a medium-regular. the dress fell three inches above my knees. this model is taller than i am, and it falls to her knees....doesn't make sense. i think retailer sends petites in place of regular.",1,0,0,General,Dresses,Dresses,"Way too short [SEP] I'm 5'7"", 130 lbs. i ordered a medium-regular. the dress fell three inches above my knees. this model is taller than i am, and it falls to her knees....doesn't make sense. i think retailer sends petites in place of regular.",0,1,3,False,ambiguous_review
1078,35,Cheaply made,"The cut and color of the dress is awesome. however, the biggest flaw is the zipper. i only got to wear this dress once until the zipper broke..sad day especially at the price. there also were a number of loose threads. i recommend waiting until it goes on sale. you'll want the extra money for a tailor to fix that zipper.",1,0,2,General Petite,Dresses,Dresses,"Cheaply made [SEP] The cut and color of the dress is awesome. however, the biggest flaw is the zipper. i only got to wear this dress once until the zipper broke..sad day especially at the price. there also were a number of loose threads. i recommend waiting until it goes on sale. you'll want the extra money for a tailor to fix that zipper.",0,1,3,False,mixed_sentiment
861,54,,"I'm a petite so as usual i have to order from retailer. i saw this on line and tried it on in a regular size in the store. even though of course it didnt fit, the style of the tee was nice so i ordered it. i couldnt have been more disappointed when i received it. the quality was truly awful. i'm not even sure why it is being sold. the neckline was warped and wouldn't lie flat again the neck or chest; the bottom hem was crooked. it was really bad. also having purchased tees in similar material befo",1,0,0,General,Tops,Knits,"I'm a petite so as usual i have to order from retailer. i saw this on line and tried it on in a regular size in the store. even though of course it didnt fit, the style of the tee was nice so i ordered it. i couldnt have been more disappointed when i received it. the quality was truly awful. i'm not even sure why it is being sold. the neckline was warped and wouldn't lie flat again the neck or chest; the bottom hem was crooked. it was really bad. also having purchased tees in similar material befo",0,1,3,False,ambiguous_review
861,43,Thin and blah,"This shirt appears nice in the pictures. it appears to have a bit of style. wrong. the shirt is one of the thinnest fabrics i've ever purchased. i live in warmer climate and its nice to have different cotton shirts with some style. this shirt has no style, and i thought it would. i have purchased this brand before, and thought this fabric would be similar. the other shirts were way nicer, softer, and had a different level of construction. i wanted to wear this shirt out and when i put it on it w",1,0,6,General,Tops,Knits,"Thin and blah [SEP] This shirt appears nice in the pictures. it appears to have a bit of style. wrong. the shirt is one of the thinnest fabrics i've ever purchased. i live in warmer climate and its nice to have different cotton shirts with some style. this shirt has no style, and i thought it would. i have purchased this brand before, and thought this fabric would be similar. the other shirts were way nicer, softer, and had a different level of construction. i wanted to wear this shirt out and when i put it on it w",0,1,3,False,ambiguous_review
1083,28,Raglan sleeve style did not work with larger bust,"I saw the photo of the young woman wearing this dress in the reviews and she looked beautiful, i on the other hand looked awful. the fabric of the entire dress is quite stiff, so the dress didn't move with me; it sort of felt as if i was wearing a paper cut out. then to contribute to the volume, the sleeve is not set in, it is a raglan style, that on me looked more like a bat suit, than what i was hoping for, a beautiful distinctive dress for an important affair. also the belt didn't enhance the",1,0,0,General,Dresses,Dresses,"Raglan sleeve style did not work with larger bust [SEP] I saw the photo of the young woman wearing this dress in the reviews and she looked beautiful, i on the other hand looked awful. the fabric of the entire dress is quite stiff, so the dress didn't move with me; it sort of felt as if i was wearing a paper cut out. then to contribute to the volume, the sleeve is not set in, it is a raglan style, that on me looked more like a bat suit, than what i was hoping for, a beautiful distinctive dress for an important affair. also the belt didn't enhance the",0,1,3,False,mixed_sentiment
927,46,Nice design but poorly executed,"I was really eager to receive this sweater, i was expecting the same as in the picture. i received it today and i am already returning it. first of all the sweater didn't look new, it is mostly shapeless, it has little balls and piling on the wool (what happens after wearing a sweater for a few months) and the metallic color makes it look cheap. in the knitting itself there are missing points and there are actual holes in some places. it is a beautiful design but other than that not even the col",1,0,1,General Petite,Tops,Sweaters,"Nice design but poorly executed [SEP] I was really eager to receive this sweater, i was expecting the same as in the picture. i received it today and i am already returning it. first of all the sweater didn't look new, it is mostly shapeless, it has little balls and piling on the wool (what happens after wearing a sweater for a few months) and the metallic color makes it look cheap. in the knitting itself there are missing points and there are actual holes in some places. it is a beautiful design but other than that not even the col",0,1,3,False,mixed_sentiment
1079,32,Oversized pillowcase,"I'm so disappointed this dress didn't work out! i ordered the size medium, post baby i'm a solid dress size 6 or 8 depending on the designer. the cashier was laughing with me how ridiculously huge this garment was when i held it up. also the length was super long, description says 35"" which would be mid thigh for me, but this thing hit me mid knee. also, like the previous review the shoulders are tented and poofy. so bizarre and the cut reminds me of a maternity dress, but the shoulders def",1,0,6,General Petite,Dresses,Dresses,"Oversized pillowcase [SEP] I'm so disappointed this dress didn't work out! i ordered the size medium, post baby i'm a solid dress size 6 or 8 depending on the designer. the cashier was laughing with me how ridiculously huge this garment was when i held it up. also the length was super long, description says 35"" which would be mid thigh for me, but this thing hit me mid knee. also, like the previous review the shoulders are tented and poofy. so bizarre and the cut reminds me of a maternity dress, but the shoulders def",0,1,3,False,mixed_sentiment
1104,55,,"This is a cute dress, but not for me. 1. i think it runs very small, 2. it is super textured so if you don't want to add bulk (aka pounds) to your frame, this probably isn't for you. it's too bad it's online only because i would have benefitted from trying this on first. i'm sure it's probably adorable on smaller, thinner people. unfortunately, mine is going back.",1,1,3,General,Dresses,Dresses,"This is a cute dress, but not for me. 1. i think it runs very small, 2. it is super textured so if you don't want to add bulk (aka pounds) to your frame, this probably isn't for you. it's too bad it's online only because i would have benefitted from trying this on first. i'm sure it's probably adorable on smaller, thinner people. unfortunately, mine is going back.",0,1,3,False,mixed_sentiment
1104,31,Shrunk!,"I loved the fit and vibrant color of this dress. it's loose and flows but doesn't look like a potato sack. i wore it once and got a ton of compliments. that said, i hand washed it, as the tag states, then let it line dry, and it shrunk to half its size! i re-checked the tag and noticed that under the hand wash instructions it then states ""dry clean recommended."" boo. so disappointed that i spend over $100 for a dress i wore once.",1,0,0,General Petite,Dresses,Dresses,"Shrunk! [SEP] I loved the fit and vibrant color of this dress. it's loose and flows but doesn't look like a potato sack. i wore it once and got a ton of compliments. that said, i hand washed it, as the tag states, then let it line dry, and it shrunk to half its size! i re-checked the tag and noticed that under the hand wash instructions it then states ""dry clean recommended."" boo. so disappointed that i spend over $100 for a dress i wore once.",0,1,3,False,mixed_sentiment
1075,60,Boxy,"I wanted to love this dress because the fabric is fun, but i could not find a way to make the drawstring waist look like anything but a potato sack.the model has her hands hiding the lack of a waistline",1,0,1,General,Dresses,Dresses,"Boxy [SEP] I wanted to love this dress because the fabric is fun, but i could not find a way to make the drawstring waist look like anything but a potato sack.the model has her hands hiding the lack of a waistline",0,1,3,False,mixed_sentiment
118,52,Cute top,Just not as long as in the picture. it hit me at my hips not good!,1,0,0,Initmates,Intimate,Sleep,Cute top [SEP] Just not as long as in the picture. it hit me at my hips not good!,0,1,3,False,ambiguous_review
1084,58,,"I loved the dress, but just not dressy enough after rethinking what i needed. very easy order and return. thanks!",1,1,5,General Petite,Dresses,Dresses,"I loved the dress, but just not dressy enough after rethinking what i needed. very easy order and return. thanks!",0,1,3,False,mixed_sentiment
879,40,Snags easily,I was very disappointed in the quality of this top. the first time i wore it it snagged right in the front. i had to pull the thread under so it wasn't exposed. i put it in the wash in the gentle cycle and it was destroyed with several more snags when i removed it from the machine. this top is extremely delicate and doesn't withstand normal everyday casual wear although it's s casual lightweight sweater. now it's just a wear around the house ratty throw around shirt.,1,0,0,General,Tops,Knits,Snags easily [SEP] I was very disappointed in the quality of this top. the first time i wore it it snagged right in the front. i had to pull the thread under so it wasn't exposed. i put it in the wash in the gentle cycle and it was destroyed with several more snags when i removed it from the machine. this top is extremely delicate and doesn't withstand normal everyday casual wear although it's s casual lightweight sweater. now it's just a wear around the house ratty throw around shirt.,0,1,3,False,mixed_sentiment
1094,26,Worst purchase ever,"I'm a big retailer buyer- and usually love the dresses, especially the petite xs maxis. this was the worst retailer purchase i have ever made. it was humongous and gave me no shape. even if i purchased an xxsp it probably would be the same. i'm small but i mean come on- this would only fit a giantess-- which also makes no sense because it's the petite size. do not buy. i'm very upset i have to pay the $5.95 return fee since i ordered this.",1,0,0,General,Dresses,Dresses,"Worst purchase ever [SEP] I'm a big retailer buyer- and usually love the dresses, especially the petite xs maxis. this was the worst retailer purchase i have ever made. it was humongous and gave me no shape. even if i purchased an xxsp it probably would be the same. i'm small but i mean come on- this would only fit a giantess-- which also makes no sense because it's the petite size. do not buy. i'm very upset i have to pay the $5.95 return fee since i ordered this.",0,1,3,False,mixed_sentiment
828,42,Disappointing for the price,"The cut of this piece is great, the quality of the fabric is terrible. i used it under another layer the first day i wore it and it pilled across the bust. after hand washing in cold water and hanging to dry it shrank in length- so much that i can no longer even wear it. i always happily pay a premium for quality staple wardrobe pieces. this didn't hold up to one wearing, let alone one season. i recommend strongly against it.",1,0,8,General Petite,Tops,Blouses,"Disappointing for the price [SEP] The cut of this piece is great, the quality of the fabric is terrible. i used it under another layer the first day i wore it and it pilled across the bust. after hand washing in cold water and hanging to dry it shrank in length- so much that i can no longer even wear it. i always happily pay a premium for quality staple wardrobe pieces. this didn't hold up to one wearing, let alone one season. i recommend strongly against it.",0,1,3,False,ambiguous_review
986,71,,"This fell apart after wearing it once. for the price, it should hold up better. it's too delicate.",1,0,3,General,Jackets,Jackets,"This fell apart after wearing it once. for the price, it should hold up better. it's too delicate.",0,1,3,False,ambiguous_review
1035,64,They are tapered! why?!,"Waist is tight and thighs and legs are not. -not flattering- ankle opening is too small, and they have a funny smell.",1,0,2,General Petite,Bottoms,Jeans,"They are tapered! why?! [SEP] Waist is tight and thighs and legs are not. -not flattering- ankle opening is too small, and they have a funny smell.",0,1,3,False,ambiguous_review
850,46,,A serious joke. i struggled with the buttons for a good 10 minutes and gave up after the 3rd button. i'm not sure what they were thinking.,1,0,5,General Petite,Tops,Blouses,A serious joke. i struggled with the buttons for a good 10 minutes and gave up after the 3rd button. i'm not sure what they were thinking.,0,1,4,False,mixed_sentiment
870,40,,So unflattering! really disappointed. made me look 6 month pregnant and i'm a petite size 2.,1,0,0,General,Tops,Knits,So unflattering! really disappointed. made me look 6 month pregnant and i'm a petite size 2.,0,1,4,False,ambiguous_review
1068,44,Disappointed,"Bummed out.. this is super cheaply made and very expensive... the design is different , the color is beautiful, but the material is a different story.. it should be priced at the most 30 bucks.. not 128.. i'm returning them. also, they run very big..!",1,0,15,General,Bottoms,Pants,"Disappointed [SEP] Bummed out.. this is super cheaply made and very expensive... the design is different , the color is beautiful, but the material is a different story.. it should be priced at the most 30 bucks.. not 128.. i'm returning them. also, they run very big..!",0,1,4,False,mixed_sentiment
